Player: 11111, Scene: Followcircle - Arrow, RecoveryTime: 0,3568192
Player: 11111, Scene: Followcircle - Arrow, RecoveryTime: 0,2007599
Player: 11111, Scene: Followcircle - Arrow, RecoveryTime: 0,03103638
Player: 11111, Scene: Followcircle - Arrow, RecoveryTime: 0,133461
Player: 11111, Scene: Followcircle - Arrow, RecoveryTime: 0,06515503
Player: 11111, Scene: Followcircle - Arrow, RecoveryTime: 0,02262115
Player: 11111, Scene: Followcircle - Arrow, RecoveryTime: 0,01108551
Player: 11111, Scene: Followcircle - Arrow, RecoveryTime: 0,01004028
Player: 11111, Scene: Followcircle - Arrow, RecoveryTime: 0,1675873
Player: 11111, Scene: Followcircle - Arrow, RecoveryTime: 0,01062012
Player: 11111, Scene: Followcircle - Arrow, RecoveryTime: 0,3881531
Player: 11111, Scene: Followcircle - Arrow, RecoveryTime: 0,01157379
Player: 11111, Scene: Followcircle - Arrow, RecoveryTime: 0,01163483
Player: 11111, Scene: Followcircle - Arrow, RecoveryTime: 0,01140594
Player: 11111, Scene: Followcircle - Arrow, RecoveryTime: 0,1441727
Player: 11111, Scene: Followcircle - Arrow, RecoveryTime: 0,9988403
Player: 11111, Scene: Followcircle - Arrow, RecoveryTime: 0,04453278
Player: 11111, Scene: Followcircle - Arrow, RecoveryTime: 0,4599686
Player: 11111, Scene: Followcircle - Arrow, RecoveryTime: 0,04421234
Player: 11111, Scene: Followcircle - Arrow, RecoveryTime: 0,0871048
Player: 11111, Scene: Followcircle - Arrow, RecoveryTime: 0,07621002
Player: 11111, Scene: Followcircle - Arrow, RecoveryTime: 0,07712555
Player: 11111, Scene: Followcircle - Arrow, RecoveryTime: 0,0890274
Player: 11111, Scene: Followcircle - Arrow, RecoveryTime: 0,1312714
Player: 11111, Scene: Followcircle - Arrow, RecoveryTime: 0,04509735
Player: 11111, Scene: Followcircle - Arrow, RecoveryTime: 0,06648254
Player: 11111, Scene: Followcircle - Arrow, RecoveryTime: 0,04355621
Player: 11111, Scene: Followcircle - Arrow, RecoveryTime: 1,211853
Player: 11111, Scene: Followcircle - Arrow, RecoveryTime: 0,03528595
Player: 11111, Scene: Followcircle - Arrow, RecoveryTime: 0,04393005
