Player: Followcircle - Arrow, Rotation: 5, Pointer:(0.97, 2.42, 0.00), Sphere:(0.90, 2.43, 0.00), Time: 4,023515
Player: Followcircle - Arrow, Rotation: 5, Pointer:(0.92, 2.44, 0.00), Sphere:(0.89, 2.45, 0.00), Time: 4,079232
Player: Followcircle - Arrow, Rotation: 5, Pointer:(0.91, 2.46, 0.00), Sphere:(0.88, 2.48, 0.00), Time: 4,145448
Player: Followcircle - Arrow, Rotation: 5, Pointer:(0.88, 2.50, 0.00), Sphere:(0.86, 2.51, 0.00), Time: 4,201025
Player: Followcircle - Arrow, Rotation: 5, Pointer:(0.86, 2.52, 0.00), Sphere:(0.85, 2.53, 0.00), Time: 4,25753
Player: Followcircle - Arrow, Rotation: 5, Pointer:(0.84, 2.53, 0.00), Sphere:(0.83, 2.55, 0.00), Time: 4,31385
Player: Followcircle - Arrow, Rotation: 5, Pointer:(0.80, 2.54, 0.00), Sphere:(0.82, 2.58, 0.00), Time: 4,368263
Player: Followcircle - Arrow, Rotation: 5, Pointer:(0.80, 2.59, 0.00), Sphere:(0.80, 2.60, 0.00), Time: 4,425168
Player: Followcircle - Arrow, Rotation: 5, Pointer:(0.77, 2.58, 0.00), Sphere:(0.78, 2.62, 0.00), Time: 4,481455
Player: Followcircle - Arrow, Rotation: 5, Pointer:(0.76, 2.61, 0.00), Sphere:(0.77, 2.64, 0.00), Time: 4,536058
Player: Followcircle - Arrow, Rotation: 5, Pointer:(0.73, 2.63, 0.00), Sphere:(0.75, 2.66, 0.00), Time: 4,591916
Player: Followcircle - Arrow, Rotation: 5, Pointer:(0.70, 2.63, 0.00), Sphere:(0.73, 2.68, 0.00), Time: 4,647634
Player: Followcircle - Arrow, Rotation: 5, Pointer:(0.68, 2.68, 0.00), Sphere:(0.71, 2.70, 0.00), Time: 4,705921
Player: Followcircle - Arrow, Rotation: 5, Pointer:(0.66, 2.71, 0.00), Sphere:(0.69, 2.72, 0.00), Time: 4,75883
